year,source_country_code,target_country_code,net_flow_twh
2018,RUS,LVA,1.17
2018,RUS,UKR,-0.48
2018,SRB,BGR,-2.25
2018,SRB,BIH,0.5
2018,SRB,HRV,1.75
2018,SRB,HUN,1.01
2018,SRB,MKD,1.17
2018,SRB,MNE,-0.39
2018,SRB,ROU,-1.59
2018,SVK,CZE,-8.86
2018,SVK,HUN,6.77
2018,SVK,POL,-3.2
2018,SVK,UKR,1.61
2018,SVN,AUT,-3.64
2018,SVN,HRV,-2.62
2018,SVN,ITA,6.7
2018,SWE,DEU,0.81
2018,SWE,DNK,1.36
2018,SWE,FIN,13.16
2018,SWE,LTU,2.79
2018,SWE,NOR,-3.91
2018,SWE,POL,2.74
2018,TUR,BGR,-1.86
2018,TUR,GRC,2.91
2018,UKR,BLR,-0.08
2018,UKR,HUN,5.08
2018,UKR,MDA,0.94
2018,UKR,POL,1.42
2018,UKR,ROU,0.34
2018,UKR,RUS,0.48
2018,UKR,SVK,-1.61
2019,ALB,GRC,-0.32
2019,ALB,MNE,-0.79
2019,AND,ESP,-0.2
2019,AUT,CHE,3.73
2019,AUT,CZE,-9.28
2019,AUT,DEU,-11.92
2019,AUT,HUN,6.22
2019,AUT,ITA,1.22
2019,AUT,SVN,5.63
2019,BEL,FRA,-2.8
2019,BEL,GBR,5.36
2019,BEL,LUX,0.09
2019,BEL,NLD,-0.92
2019,BGR,GRC,2.2
2019,BGR,MKD,1.83
2019,BGR,ROU,-1.73
2019,BGR,SRB,1.26
2019,BGR,TUR,1.68
2019,BIH,HRV,0.96
2019,BIH,MNE,2.36
2019,BIH,SRB,0.28
2019,BLR,LTU,2.8
2019,BLR,UKR,-0.54
2019,CHE,AUT,-3.73
2019,CHE,DEU,-8.34
2019,CHE,FRA,-5.66
2019,CHE,ITA,21.22
2019,CZE,AUT,9.28
2019,CZE,DEU,-3.94
2019,CZE,POL,-2.73
2019,CZE,SVK,10.09
2019,DEU,AUT,11.92
2019,DEU,CHE,8.34
2019,DEU,CZE,3.94
2019,DEU,DNK,3.45
2019,DEU,FRA,-13.1
2019,DEU,LUX,4.02
2019,DEU,NLD,6.18
2019,DEU,POL,10.07
2019,DEU,SWE,-0.76
2019,DNK,DEU,-3.45
2019,DNK,NLD,-0.04
2019,DNK,NOR,0.01
2019,DNK,SWE,-2.17
2019,ESP,AND,0.2
2019,ESP,FRA,-9.71
2019,ESP,MAR,-0.79
2019,ESP,PRT,3.42
2019,EST,FIN,-3.52
2019,EST,LVA,2.57
2019,EST,RUS,-1.23
2019,FIN,EST,3.52
2019,FIN,NOR,-0.18
2019,FIN,RUS,-7.56
2019,FIN,SWE,-15.45
2019,FRA,BEL,2.8
2019,FRA,CHE,5.66
2019,FRA,DEU,13.1
2019,FRA,ESP,9.71
2019,FRA,GBR,11.25
2019,FRA,ITA,14.3
2019,GBR,BEL,-5.36
2019,GBR,FRA,-11.25
2019,GBR,IRL,-0.2
2019,GBR,NLD,-5.83
2019,GRC,ALB,0.32
2019,GRC,BGR,-2.2
2019,GRC,ITA,-2.92
2019,GRC,MKD,-2.47
2019,GRC,TUR,-2.69
2019,HRV,BIH,-0.96
2019,HRV,HUN,-4.05
2019,HRV,SRB,-0.07
2019,HRV,SVN,-1.09
2019,HUN,AUT,-6.22
2019,HUN,HRV,4.05
2019,HUN,ROU,1.76
2019,HUN,SRB,0.25
2019,HUN,SVK,-8.73
2019,HUN,UKR,-3.81
2019,IRL,GBR,0.2
2019,ITA,AUT,-1.22
2019,ITA,CHE,-21.22
2019,ITA,FRA,-14.3
2019,ITA,GRC,2.92
2019,ITA,MLT,0.64
2019,ITA,MNE,-0.01
2019,ITA,SVN,-4.97
2019,LTU,BLR,-2.8
2019,LTU,LVA,-2.5
2019,LTU,POL,1.88
2019,LTU,RUS,-2.65
2019,LTU,SWE,-3.46
2019,LUX,BEL,-0.09
2019,LUX,DEU,-4.02
2019,LVA,EST,-2.57
2019,LVA,LTU,2.5
2019,LVA,RUS,-1.08
2019,MAR,ESP,0.79
2019,MDA,UKR,-0.6
2019,MKD,BGR,-1.83
2019,MKD,GRC,2.47
2019,MKD,SRB,-2.05
2019,MLT,ITA,-0.64
2019,MNE,ALB,0.79
2019,MNE,BIH,-2.36
2019,MNE,ITA,0.01
2019,MNE,SRB,0.26
2019,NLD,BEL,0.92
2019,NLD,DEU,-6.18
2019,NLD,DNK,0.04
2019,NLD,GBR,5.83
2019,NLD,NOR,-0.9
2019,NOR,DNK,-0.01
2019,NOR,FIN,0.18
2019,NOR,NLD,0.9
2019,NOR,SWE,-1.25
2019,POL,CZE,2.73
2019,POL,DEU,-10.07
2019,POL,LTU,-1.88
2019,POL,SVK,3.22
2019,POL,SWE,-2.89
2019,POL,UKR,-1.38
2019,PRT,ESP,-3.42
2019,ROU,BGR,1.73
2019,ROU,HUN,-1.76
2019,ROU,SRB,0.46
2019,ROU,UKR,-1.95
2019,RUS,EST,1.23
2019,RUS,FIN,7.56
2019,RUS,LTU,2.65
2019,RUS,LVA,1.08
2019,RUS,UKR,1.09
2019,SRB,BGR,-1.26
2019,SRB,BIH,-0.28
2019,SRB,HRV,0.07
2019,SRB,HUN,-0.25
2019,SRB,MKD,2.05
2019,SRB,MNE,-0.26
2019,SRB,ROU,-0.46
2019,SVK,CZE,-10.09
2019,SVK,HUN,8.73
2019,SVK,POL,-3.22
2019,SVK,UKR,2.92
2019,SVN,AUT,-5.63
2019,SVN,HRV,1.09
2019,SVN,ITA,4.97
2019,SWE,DEU,0.76
2019,SWE,DNK,2.17
2019,SWE,FIN,15.45
2019,SWE,LTU,3.46
2019,SWE,NOR,1.25
2019,SWE,POL,2.89
2019,TUR,BGR,-1.68
2019,TUR,GRC,2.69
2019,UKR,BLR,0.54
2019,UKR,HUN,3.81
2019,UKR,MDA,0.6
2019,UKR,POL,1.38
2019,UKR,ROU,1.95
2019,UKR,RUS,-1.09
2019,UKR,SVK,-2.92
2020,ALB,GRC,0.21
2020,ALB,MNE,-1
2020,AND,ESP,-0.21
2020,AUT,CHE,2.43
2020,AUT,CZE,-8.3
2020,AUT,DEU,-9.42
2020,AUT,HUN,6.27
2020,AUT,ITA,1.14
2020,AUT,SVN,4.56
2020,BEL,DEU,-0.22
2020,BEL,FRA,-0.83
2020,BEL,GBR,5.01
2020,BEL,LUX,0.2
2020,BEL,NLD,-4.04
2020,BGR,GRC,1.86
2020,BGR,MKD,1.85
2020,BGR,ROU,-2.28
2020,BGR,SRB,0.55
2020,BGR,TUR,1.37
2020,BIH,HRV,-0.74
2020,BIH,MNE,3.41
2020,BIH,SRB,0.85
2020,BLR,LTU,2.2
2020,BLR,UKR,-1.49
2020,CHE,AUT,-2.43
2020,CHE,DEU,-4.56
2020,CHE,FRA,-5.73
2020,CHE,ITA,17.07
2020,CZE,AUT,8.3
2020,CZE,DEU,-5.95
2020,CZE,POL,-2.35
2020,CZE,SVK,9.73
2020,DEU,AUT,9.42
2020,DEU,BEL,0.22
2020,DEU,CHE,4.56
2020,DEU,CZE,5.95
2020,DEU,DNK,-3.09
2020,DEU,FRA,-10.23
2020,DEU,LUX,3.59
2020,DEU,NLD,0.03
2020,DEU,NOR,-0.15
2020,DEU,POL,11.22
2020,DEU,SWE,-2.1
2020,DNK,DEU,3.09
2020,DNK,NLD,1.05
2020,DNK,NOR,-7.35
2020,DNK,SWE,-3.66
2020,ESP,AND,0.21
2020,ESP,FRA,-5.24
2020,ESP,MAR,0.26
2020,ESP,PRT,1.47
2020,EST,FIN,-6.58
2020,EST,LVA,1.85
2020,EST,RUS,1.12
2020,FIN,EST,6.58
2020,FIN,NOR,-0.26
2020,FIN,RUS,-2.93
2020,FIN,SWE,-18.11
2020,FRA,BEL,0.83
2020,FRA,CHE,5.73
2020,FRA,DEU,10.23
2020,FRA,ESP,5.24
2020,FRA,GBR,8.88
2020,FRA,ITA,12.71
2020,GBR,BEL,-5.01
2020,GBR,FRA,-8.88
2020,GBR,IRL,-0.9
2020,GBR,NLD,-4.24
2020,GRC,ALB,-0.21
2020,GRC,BGR,-1.86
2020,GRC,ITA,-2.33
2020,GRC,MKD,-2.61
2020,GRC,TUR,-1.81
2020,HRV,BIH,0.74
2020,HRV,HUN,-2.79
2020,HRV,SRB,0.16
2020,HRV,SVN,-3.08
2020,HUN,AUT,-6.27
2020,HUN,HRV,2.79
2020,HUN,ROU,2.02
2020,HUN,SRB,0.44
2020,HUN,SVK,-9.26
2020,HUN,UKR,-1.51
2020,IRL,GBR,0.9
2020,ITA,AUT,-1.14
2020,ITA,CHE,-17.07
2020,ITA,FRA,-12.71
2020,ITA,GRC,2.33
2020,ITA,MLT,0.42
2020,ITA,MNE,-0.59
2020,ITA,SVN,-3.5
2020,LTU,BLR,-2.2
2020,LTU,LVA,-0.99
2020,LTU,POL,1.77
2020,LTU,RUS,-2.04
2020,LTU,SWE,-4.68
2020,LUX,BEL,-0.2
2020,LUX,DEU,-3.59
2020,LVA,EST,-1.85
2020,LVA,LTU,0.99
2020,LVA,RUS,-0.73
2020,MAR,ESP,-0.26
2020,MDA,ROU,0
2020,MDA,UKR,-0.15
2020,MKD,BGR,-1.85
2020,MKD,GRC,2.61
2020,MKD,SRB,-3.04
2020,MLT,ITA,-0.42
2020,MNE,ALB,1
2020,MNE,BIH,-3.41
2020,MNE,ITA,0.59
2020,MNE,SRB,0.6
2020,NLD,BEL,4.04
2020,NLD,DEU,-0.03
2020,NLD,DNK,-1.05
2020,NLD,GBR,4.24
2020,NLD,NOR,-4.52
2020,NOR,DEU,0.15
2020,NOR,DNK,7.35
2020,NOR,FIN,0.26
2020,NOR,NLD,4.52
2020,NOR,SWE,7.89
2020,POL,CZE,2.35
2020,POL,DEU,-11.22
2020,POL,LTU,-1.77
2020,POL,SVK,3.07
2020,POL,SWE,-3.79
2020,POL,UKR,-1.47
2020,PRT,ESP,-1.47
2020,ROU,BGR,2.28
2020,ROU,HUN,-2.02
2020,ROU,MDA,0
2020,ROU,SRB,-0.36
2020,ROU,UKR,-2.69
2020,RUS,EST,-1.12
2020,RUS,FIN,2.93
2020,RUS,LTU,2.04
2020,RUS,LVA,0.73
2020,RUS,UKR,0.98
2020,SRB,BGR,-0.55
2020,SRB,BIH,-0.85
2020,SRB,HRV,-0.16
2020,SRB,HUN,-0.44
2020,SRB,MKD,3.04
2020,SRB,MNE,-0.6
2020,SRB,ROU,0.36
2020,SVK,CZE,-9.73
2020,SVK,HUN,9.26
2020,SVK,POL,-3.07
2020,SVK,UKR,3.28
2020,SVN,AUT,-4.56
2020,SVN,HRV,3.08
2020,SVN,ITA,3.5
2020,SWE,DEU,2.1
2020,SWE,DNK,3.66
2020,SWE,FIN,18.11
2020,SWE,LTU,4.68
2020,SWE,NOR,-7.89
2020,SWE,POL,3.79
2020,TUR,BGR,-1.37
2020,TUR,GRC,1.81
2020,UKR,BLR,1.49
2020,UKR,HUN,1.51
2020,UKR,MDA,0.15
2020,UKR,POL,1.47
2020,UKR,ROU,2.69
2020,UKR,RUS,-0.98
2020,UKR,SVK,-3.28
2021,ALB,GRC,-0.36
2021,ALB,MNE,0.29
2021,ALB,XKX,0.11
2021,AND,ESP,-0.23
2021,AUT,CHE,2.96
2021,AUT,CZE,-10.69
2021,AUT,DEU,-7.53
2021,AUT,HUN,2.55
2021,AUT,ITA,1.24
2021,AUT,SVN,3.26
2021,BEL,DEU,-0.78
2021,BEL,FRA,2.59
2021,BEL,GBR,7.02
2021,BEL,LUX,0.84
2021,BEL,NLD,-2.07
2021,BGR,GRC,1.89
2021,BGR,MKD,2.4
2021,BGR,ROU,0.85
2021,BGR,SRB,2.66
2021,BGR,TUR,0.81
2021,BIH,HRV,2.63
2021,BIH,MNE,2.4
2021,BIH,SRB,-0.05
2021,BLR,LTU,3.31
2021,BLR,UKR,-1.45
2021,CHE,AUT,-2.96
2021,CHE,DEU,-12.53
2021,CHE,FRA,-6.23
2021,CHE,ITA,18.21
2021,CZE,AUT,10.69
2021,CZE,DEU,-0.26
2021,CZE,POL,-7.87
2021,CZE,SVK,8.59
2021,DEU,AUT,7.53
2021,DEU,BEL,0.78
2021,DEU,CHE,12.53
2021,DEU,CZE,0.26
2021,DEU,DNK,-3.87
2021,DEU,FRA,-5.57
2021,DEU,LUX,3.11
2021,DEU,NLD,1.44
2021,DEU,NOR,-3.16
2021,DEU,POL,8.39
2021,DEU,SWE,-1.95
2021,DNK,DEU,3.87
2021,DNK,NLD,2.2
2021,DNK,NOR,-6.28
2021,DNK,SWE,-4.77
2021,ESP,AND,0.23
2021,ESP,FRA,-5.62
2021,ESP,MAR,-0.19
2021,ESP,PRT,4.68
2021,EST,FIN,-6.65
2021,EST,LVA,2.74
2021,EST,RUS,1.3
2021,FIN,EST,6.65
2021,FIN,NOR,-0.26
2021,FIN,RUS,-9.15
2021,FIN,SWE,-14.72
2021,FRA,BEL,-2.59
2021,FRA,CHE,6.23
2021,FRA,DEU,5.57
2021,FRA,ESP,5.62
2021,FRA,GBR,13.38
2021,FRA,ITA,13.98
2021,GBR,BEL,-7.02
2021,GBR,FRA,-13.38
2021,GBR,IRL,0.48
2021,GBR,NLD,-4.35
2021,GBR,NOR,-1.42
2021,GRC,ALB,0.36
2021,GRC,BGR,-1.89
2021,GRC,ITA,1.35
2021,GRC,MKD,-0.55
2021,GRC,TUR,-2.88
2021,HRV,BIH,-2.63
2021,HRV,HUN,-2.54
2021,HRV,SRB,-1
2021,HRV,SVN,1.81
2021,HUN,AUT,-2.55
2021,HUN,HRV,2.54
2021,HUN,ROU,1.11
2021,HUN,SRB,-0.53
2021,HUN,SVK,-10.69
2021,HUN,UKR,-2.71
2021,IRL,GBR,-0.48
2021,ITA,AUT,-1.24
2021,ITA,CHE,-18.21
2021,ITA,FRA,-13.98
2021,ITA,GRC,-1.35
2021,ITA,MLT,0.52
2021,ITA,MNE,-3.16
2021,ITA,SVN,-5.38
2021,LTU,BLR,-3.31
2021,LTU,LVA,-1.63
2021,LTU,POL,0.99
2021,LTU,RUS,-1.9
2021,LTU,SWE,-3.36
2021,LUX,BEL,-0.84
2021,LUX,DEU,-3.11
2021,LVA,EST,-2.74
2021,LVA,LTU,1.63
2021,LVA,RUS,-0.65
2021,MAR,ESP,0.19
2021,MDA,ROU,0
2021,MDA,UKR,-0.14
2021,MKD,BGR,-2.4
2021,MKD,GRC,0.55
2021,MKD,SRB,-0.25
2021,MKD,XKX,-0.4
2021,MLT,ITA,-0.52
2021,MNE,ALB,-0.29
2021,MNE,BIH,-2.4
2021,MNE,ITA,3.16
2021,MNE,SRB,0.3
2021,MNE,XKX,-0.32
2021,NLD,BEL,2.07
2021,NLD,DEU,-1.44
2021,NLD,DNK,-2.2
2021,NLD,GBR,4.35
2021,NLD,NOR,-3.12
2021,NOR,DEU,3.16
2021,NOR,DNK,6.28
2021,NOR,FIN,0.26
2021,NOR,GBR,1.42
2021,NOR,NLD,3.12
2021,NOR,SWE,2.79
2021,POL,CZE,7.87
2021,POL,DEU,-8.39
2021,POL,LTU,-0.99
2021,POL,SVK,4.56
2021,POL,SWE,-3.24
2021,POL,UKR,-0.82
2021,PRT,ESP,-4.68
2021,ROU,BGR,-0.85
2021,ROU,HUN,-1.11
2021,ROU,MDA,0
2021,ROU,SRB,0.84
2021,ROU,UKR,-1.01
2021,RUS,EST,-1.3
2021,RUS,FIN,9.15
2021,RUS,LTU,1.9
2021,RUS,LVA,0.65
2021,RUS,UKR,2.28
2021,SRB,BGR,-2.66
2021,SRB,BIH,0.05
2021,SRB,HRV,1
2021,SRB,HUN,0.53
2021,SRB,MKD,0.25
2021,SRB,MNE,-0.3
2021,SRB,ROU,-0.84
2021,SRB,XKX,1.25
2021,SVK,CZE,-8.59
2021,SVK,HUN,10.69
2021,SVK,POL,-4.56
2021,SVK,UKR,1.72
2021,SVN,AUT,-3.26
2021,SVN,HRV,-1.81
2021,SVN,ITA,5.38
2021,SWE,DEU,1.95
2021,SWE,DNK,4.77
2021,SWE,FIN,14.72
2021,SWE,LTU,3.36
2021,SWE,NOR,-2.79
2021,SWE,POL,3.24
2021,TUR,BGR,-0.81
2021,TUR,GRC,2.88
2021,UKR,BLR,1.45
2021,UKR,HUN,2.71
2021,UKR,MDA,0.14
2021,UKR,POL,0.82
2021,UKR,ROU,1.01
2021,UKR,RUS,-2.28
2021,UKR,SVK,-1.72
2021,XKX,ALB,-0.11
2021,XKX,MKD,0.4
2021,XKX,MNE,0.32
2021,XKX,SRB,-1.25